number of trees with integer branch lengths: 16
params = [0.499178987629511, 0.09868420856811286]
tree	alleles	logLikelihood
1	61	-227.84023272596048
2	61	-227.84023272596048
3	61	-227.9685421746038
4	61	-227.9685421746038
5	61	-228.047791546258
6	61	-228.047791546258
7	61	-228.20813419633313
8	61	-228.20813419633313
9	61	-228.79426378581746
10	61	-228.79426378581746
11	61	-228.92257323446086
12	61	-228.92257323446086
13	61	-229.00182260611496
14	61	-229.00182260611496
15	61	-229.16216525619018
16	61	-229.16216525619018
